SPRO,Customizing - Edit Project,Basis - Customizing Project Management (IMG)
SE38,ABAP Editor,Basis - ABAP Editor
SE93,Maintain transaction codes,Basis - Workbench Tools: Editors; Painters; Modelers
SE11,ABAP Dictionary Maintenance,Basis - Dictionary Maintenance
SE16,Data Browser,Basis - Workbench Utilities
SE80,Object Navigator,Basis - Repository Browser
SE37,ABAP Function Modules,Basis - Function Builder
SU01,User Maintenance,Basis - User and Authorization Management
MIRO,Enter Incoming Invoice,MM - Invoice Verification
SM30,Call View Maintenance,Basis - Table Maintenance Tool
FTXP,Maintain Tax code,FI - Basic Functions
SM59,RFC Destinations (Display/Maintain),Basis - RFC
PFCG,Role Maintenance,Basis - ABAP Authorization and Role Management
SE71,sapscript form,Basis - SAPscript
SHD0,transaction and Screen Variants,Basis - Transaction Variant and Table Control Settings
VA01,Create Sales Order,SD - Sales
PB10,Init.entry of applicant master data,Personnel Mgmt - Recruitment
MM01,Create Material &,Logistics - Material Master
SICF,HTTP Service Hierarchy Maintenance,Basis - Internet Communication Framework
SCOT,sapconnect - Administration,Basis - Communication Services: Mail; Fax; SMS; Telephony
SQ01,sap Query: Maintain queries,Basis - SAP Query
CMOD,Enhancements,Basis - Customer Enhancements
SP01,Output Controller,Basis - Print and Output Management
SWDC,Workflow Definition: Administration,Basis - SAP Business Workflow
SMOD,sap Enhancement Management,Basis - Customer Enhancements